# Creation import unresolved ingredient report
# Generated at 2025-12-07T03:30:11.327Z

## Unresolved ingredient names (could not map to OsrsboxItem):
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Camphor logs"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Camphor plank"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Ironwood logs"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Ironwood plank"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Rosewood logs"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Rosewood plank"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Camphor logs"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Camphor plank"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Ironwood logs"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Ironwood plank"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Rosewood logs"
- _id=6934c860b293fc9f9a4724ff | name="Sawmill voucher" | ingredient="Rosewood plank"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Camphor logs"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Camphor plank"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Ironwood logs"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Ironwood plank"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Rosewood logs"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Rosewood plank"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Camphor logs"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Camphor plank"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Ironwood logs"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Ironwood plank"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Rosewood logs"
- _id=6934c860b293fc9f9a472500 | name="Sawmill voucher" | ingredient="Rosewood plank"
- _id=6934c864b293fc9f9a472585 | name="Atlatl dart" | ingredient="Headless atlatl dart"
- _id=6934c864b293fc9f9a472585 | name="Atlatl dart" | ingredient="Atlatl dart tips"
- _id=6934c864b293fc9f9a472586 | name="Atlatl dart" | ingredient="Headless atlatl dart"
- _id=6934c864b293fc9f9a472586 | name="Atlatl dart" | ingredient="Atlatl dart tips"
- _id=6934c864b293fc9f9a472587 | name="Atlatl dart" | ingredient="Headless atlatl dart"
- _id=6934c864b293fc9f9a472587 | name="Atlatl dart" | ingredient="Atlatl dart tips"
- _id=6934c864b293fc9f9a472588 | name="Atlatl dart" | ingredient="Headless atlatl dart"
- _id=6934c864b293fc9f9a472588 | name="Atlatl dart" | ingredient="Atlatl dart tips"
- _id=6934c864b293fc9f9a472589 | name="Atlatl dart" | ingredient="Headless atlatl dart"
- _id=6934c864b293fc9f9a472589 | name="Atlatl dart" | ingredient="Atlatl dart tips"
- _id=6934c864b293fc9f9a47258a | name="Atlatl dart" | ingredient="Headless atlatl dart"
- _id=6934c864b293fc9f9a47258a | name="Atlatl dart" | ingredient="Atlatl dart tips"
- _id=6934c867b293fc9f9a472612 | name="Mixed hide top" | ingredient="Costume needle"
- _id=6934c867b293fc9f9a472613 | name="Mixed hide top" | ingredient="Costume needle"
- _id=6934c867b293fc9f9a472614 | name="Mixed hide legs" | ingredient="Costume needle"
- _id=6934c867b293fc9f9a472615 | name="Mixed hide legs" | ingredient="Costume needle"
- _id=6934c867b293fc9f9a472616 | name="Mixed hide boots" | ingredient="Costume needle"
- _id=6934c867b293fc9f9a472617 | name="Mixed hide boots" | ingredient="Costume needle"
- _id=6934c867b293fc9f9a472618 | name="Mixed hide cape" | ingredient="Costume needle"
- _id=6934c867b293fc9f9a472619 | name="Mixed hide cape" | ingredient="Costume needle"
- _id=6934c869b293fc9f9a47266d | name="Noxious halberd" | ingredient="Noxious point"
- _id=6934c869b293fc9f9a47266d | name="Noxious halberd" | ingredient="Noxious blade"
- _id=6934c869b293fc9f9a47266d | name="Noxious halberd" | ingredient="Noxious pommel"
- _id=6934c869b293fc9f9a47266e | name="Noxious halberd" | ingredient="Noxious point"
- _id=6934c869b293fc9f9a47266e | name="Noxious halberd" | ingredient="Noxious blade"
- _id=6934c869b293fc9f9a47266e | name="Noxious halberd" | ingredient="Noxious pommel"
- _id=6934c869b293fc9f9a47266f | name="Amulet of rancour" | ingredient="Araxyte fang"
- _id=6934c869b293fc9f9a472670 | name="Amulet of rancour" | ingredient="Araxyte fang"
- _id=6934c869b293fc9f9a47267d | name="Frozen tear" | ingredient="Pendant of ates (inert)"
- _id=6934c869b293fc9f9a47267e | name="Frozen tear" | ingredient="Pendant of ates (inert)"
- _id=6934c869b293fc9f9a472696 | name="Soiled page" | ingredient="Desiccated page"
- _id=6934c869b293fc9f9a472697 | name="Soiled page" | ingredient="Desiccated page"
